Date,Open,High,Low,Close,Adj Close,Volume
2022-04-13,126.940002,129.250000,126.010002,127.300003,120.000557,30838000
2022-04-14,126.500000,128.300003,125.019997,126.120003,118.888214,18835200
2022-04-18,125.669998,129.240005,125.540001,128.460007,121.094032,11834400
2022-04-19,128.449997,131.320007,128.229996,131.119995,123.601486,15015400
2022-04-20,132.520004,133.509995,131.339996,131.580002,124.035110,13430200
2022-04-21,132.220001,132.809998,129.960007,130.559998,123.073593,12174200
2022-04-22,130.279999,130.520004,126.690002,126.809998,119.538643,14318800
2022-04-25,126.010002,127.120003,123.110001,126.769997,119.500931,17149000
2022-04-26,124.639999,126.410004,122.870003,123.019997,115.965958,17209500
2022-04-27,122.330002,123.559998,121.220001,121.419998,114.457695,17215200
2022-04-28,122.809998,123.650002,121.139999,123.339996,116.267616,13015600
2022-04-29,123.050003,123.610001,118.900002,119.360001,112.515816,14874800
2022-05-02,119.879997,120.709999,118.220001,120.449997,113.543312,18545000
2022-05-03,121.529999,124.169998,120.779999,123.029999,115.975388,15720900
2022-05-04,122.800003,127.400002,122.739998,127.099998,119.812004,17128500
2022-05-05,125.250000,126.099998,122.160004,123.919998,116.814354,15055400
2022-05-06,123.800003,124.290001,121.180000,123.720001,116.625832,14417900
2022-05-09,122.110001,123.330002,120.500000,121.860001,114.872490,14312300
2022-05-10,123.110001,123.779999,117.559998,118.889999,112.072784,16382400
2022-05-11,119.300003,122.889999,117.940002,118.139999,111.365784,14630300
2022-05-12,117.000000,118.320000,115.370003,118.040001,111.271507,16318800
2022-05-13,119.410004,120.250000,117.959999,119.089996,112.261314,10443200
2022-05-16,118.540001,119.459999,117.230003,118.260002,111.478912,10269000
2022-05-17,121.040001,122.970001,120.809998,122.180000,115.174141,11160200
2022-05-18,121.300003,121.970001,119.529999,120.089996,113.203957,12664900
2022-05-19,118.190002,119.650002,117.629997,118.309998,111.526031,12765800
2022-05-20,119.459999,119.669998,115.019997,117.339996,110.611649,13150100
2022-05-23,120.459999,126.570000,120.449997,124.599998,117.455360,24376700
2022-05-24,124.360001,127.489998,123.110001,126.360001,119.114441,19324900
2022-05-25,126.279999,127.860001,125.169998,127.239998,119.943985,12780400
2022-05-26,128.369995,130.190002,128.210007,129.440002,122.017830,15990900
2022-05-27,130.160004,131.270004,129.139999,131.270004,123.742912,11177800
2022-05-31,130.179993,133.149994,129.710007,132.229996,124.647858,17015000
2022-06-01,132.869995,132.869995,128.669998,129.910004,122.460876,10768000
2022-06-02,129.899994,132.009995,128.669998,132.000000,124.431030,8374800
2022-06-03,131.210007,131.770004,129.990005,130.160004,122.696564,8596000
2022-06-06,131.089996,132.389999,129.460007,129.729996,122.291214,11323500
2022-06-07,128.830002,130.320007,128.619995,130.070007,122.611725,6722200
2022-06-08,129.000000,129.449997,126.900002,128.000000,120.660408,8422100
2022-06-09,127.370003,128.100006,125.269997,125.309998,118.124649,13560100
2022-06-10,122.589996,123.400002,119.320000,119.550003,112.694931,12945200
2022-06-13,116.860001,117.949997,115.059998,115.989998,109.339066,16805600
2022-06-14,115.550003,117.320000,113.220001,114.059998,107.519730,13357900
2022-06-15,115.620003,116.949997,113.169998,115.410004,108.792328,14083500
2022-06-16,113.860001,114.260002,111.870003,113.430000,106.925873,16724900
2022-06-17,113.540001,114.629997,112.160004,113.029999,106.548805,30919900
2022-06-21,115.870003,117.029999,115.040001,115.830002,109.188232,11680500
2022-06-22,114.879997,116.199997,114.389999,115.180000,108.575523,9842700
2022-06-23,115.010002,115.180000,111.480003,113.919998,107.387756,11851500
2022-06-24,113.230003,117.820000,112.830002,117.320000,110.592804,14841100
2022-06-27,118.059998,118.500000,115.639999,116.379997,109.706711,11280500
2022-06-28,117.669998,119.290001,115.599998,115.820000,109.178818,11590900
2022-06-29,116.000000,116.820000,114.730003,115.300003,108.688629,9338400
2022-06-30,113.169998,114.080002,110.930000,112.610001,106.152885,15172600
2022-07-01,112.650002,114.419998,111.160004,114.050003,107.510307,10573600
2022-07-05,110.769997,112.709999,109.300003,112.620003,107.101379,12514200
2022-07-06,111.730003,112.989998,110.790001,111.889999,106.407150,10656200
2022-07-07,113.500000,114.900002,113.400002,114.720001,109.098473,10347400
2022-07-08,115.160004,115.650002,113.610001,114.360001,108.756126,8807800
2022-07-11,113.550003,114.230003,112.220001,112.860001,107.329613,7939500
2022-07-12,112.580002,115.180000,112.260002,112.970001,107.434227,11250900
2022-07-13,111.750000,112.480003,110.379997,111.910004,106.426163,12979900
2022-07-14,107.989998,108.230003,106.059998,108.000000,102.707771,26204800
2022-07-15,109.160004,113.879997,107.669998,112.949997,107.415207,18863900
2022-07-18,114.769997,115.839996,111.290001,111.790001,106.312050,13977900
2022-07-19,113.129997,114.940002,112.669998,114.559998,108.946304,11862300
2022-07-20,114.099998,114.739998,113.480003,114.540001,108.927299,11667500
2022-07-21,114.440002,115.529999,113.370003,115.320000,109.669075,11595900
2022-07-22,115.239998,116.250000,113.669998,114.760002,109.136513,7645500
2022-07-25,115.839996,116.459999,114.769997,115.220001,109.573967,9394000
2022-07-26,114.580002,115.580002,113.029999,113.419998,107.862175,10675100
2022-07-27,114.010002,115.739998,113.300003,115.239998,109.592987,9337400
2022-07-28,115.250000,115.980003,113.529999,114.809998,109.184059,10384800
2022-07-29,115.589996,116.500000,114.790001,115.360001,109.707108,12944500
2022-08-01,114.500000,115.110001,113.070000,114.209999,108.613472,14740400
2022-08-02,113.919998,114.400002,112.269997,112.430000,106.920685,14942900
2022-08-03,113.449997,114.099998,111.709999,113.610001,108.042862,14394500
2022-08-04,112.849998,113.320000,111.019997,112.360001,106.854118,18033900
2022-08-05,112.529999,116.190002,112.050003,115.760002,110.087517,14174600
2022-08-08,116.250000,116.699997,114.180000,114.349998,108.746597,10332500
2022-08-09,114.750000,115.989998,114.370003,115.379997,109.726128,10233800
2022-08-10,117.959999,119.370003,117.500000,118.389999,112.588638,12847300
2022-08-11,119.900002,121.199997,119.309998,120.139999,114.252884,11684900
2022-08-12,120.669998,122.250000,119.440002,122.129997,116.145355,9906700
2022-08-15,121.139999,122.720001,120.599998,122.459999,116.459190,8456200
2022-08-16,122.290001,124.239998,121.870003,123.629997,117.571861,9555000
2022-08-17,122.300003,123.160004,121.690002,122.589996,116.582825,8149300
2022-08-18,122.239998,122.470001,120.550003,121.639999,115.679375,9531800
2022-08-19,120.620003,120.989998,118.110001,118.629997,112.816864,13464500
2022-08-22,116.750000,117.160004,115.500000,116.669998,110.952911,8967600
2022-08-23,116.690002,117.290001,115.379997,115.519997,109.859261,7607000
2022-08-24,115.290001,116.410004,114.449997,115.800003,110.125565,9771300
2022-08-25,116.160004,118.739998,115.680000,118.550003,112.740799,10758900
2022-08-26,119.459999,119.989998,114.599998,114.669998,109.050919,11276200
2022-08-29,114.000000,114.860001,113.459999,114.389999,108.784645,8117300
2022-08-30,115.000000,115.580002,113.360001,114.410004,108.803665,10745400
2022-08-31,114.480003,115.029999,113.339996,113.730003,108.156998,10738300
2022-09-01,113.290001,114.629997,111.910004,114.510002,108.898750,9979800
2022-09-02,115.870003,117.449997,113.190002,113.709999,108.137955,10666600
2022-09-06,114.330002,114.750000,112.070000,113.739998,108.166481,9751900
2022-09-07,113.129997,116.110001,112.760002,115.900002,110.220657,10647900
2022-09-08,115.279999,118.790001,114.629997,118.599998,112.788345,11435000
2022-09-09,119.139999,120.050003,118.669998,119.169998,113.330406,9299700
2022-09-12,120.620003,121.550003,119.790001,120.580002,114.671318,8614600
2022-09-13,118.070000,118.919998,115.779999,116.389999,110.686638,12904600
2022-09-14,116.699997,117.839996,114.879997,116.120003,110.429871,9345700
2022-09-15,116.120003,119.379997,115.760002,117.870003,112.094101,10821400
2022-09-16,117.389999,117.400002,115.370003,117.080002,111.342834,14844100
2022-09-19,116.000000,118.730003,115.510002,118.160004,112.369911,8201300
2022-09-20,117.410004,117.690002,114.639999,115.830002,110.154083,9619000
2022-09-21,116.540001,116.599998,112.419998,112.489998,106.977745,12606300
2022-09-22,113.379997,113.599998,111.070000,111.209999,105.760468,11684500
2022-09-23,110.050003,110.339996,107.160004,109.139999,103.791901,18138600
2022-09-26,108.000000,109.610001,106.059998,106.790001,101.557068,15753600
2022-09-27,107.750000,108.169998,104.650002,105.849998,100.663124,12793600
2022-09-28,105.949997,108.730003,105.639999,107.989998,102.698257,12762600
2022-09-29,106.949997,107.279999,104.400002,106.160004,100.957939,12713900
2022-09-30,106.059998,107.620003,104.400002,104.500000,99.379272,15973400
2022-10-03,105.620003,108.360001,104.459999,107.730003,102.451004,12248100
2022-10-04,110.610001,112.989998,109.860001,112.769997,107.244034,16013600
2022-10-05,109.750000,110.949997,108.830002,110.389999,105.919907,10943500
2022-10-06,109.459999,110.190002,107.940002,108.139999,103.761017,11521400
2022-10-07,107.519997,107.709999,105.269997,105.980003,101.688492,11681100
2022-10-10,106.730003,107.309998,104.519997,104.989998,100.738571,8931700
2022-10-11,104.370003,104.540001,101.849998,101.959999,97.831268,12739700
2022-10-12,101.800003,104.730003,101.279999,103.610001,99.414467,13181000
2022-10-13,101.980003,109.900002,101.760002,109.370003,104.941216,22398700
2022-10-14,111.959999,115.239998,110.720001,111.190002,106.687508,33387100
2022-10-17,115.410004,117.010002,114.320000,115.860001,111.168404,22276300
2022-10-18,119.660004,120.139999,116.959999,118.839996,114.027733,21539700
2022-10-19,117.989998,118.830002,115.669998,116.510002,111.792084,17072000
2022-10-20,117.160004,118.709999,115.650002,116.129997,111.427467,12207400
2022-10-21,116.459999,122.389999,116.330002,122.230003,117.280472,20593300
2022-10-24,122.070000,123.099998,121.330002,122.379997,117.424385,12624200
2022-10-25,121.849998,123.269997,120.889999,122.699997,117.731430,11289100
2022-10-26,123.000000,125.199997,122.879997,124.110001,119.084335,11667000
2022-10-27,125.199997,126.199997,124.209999,124.599998,119.554504,10727600
2022-10-28,125.290001,126.279999,124.050003,126.080002,120.974564,11859500
2022-10-31,125.699997,127.430000,125.589996,125.879997,120.782661,13295200
2022-11-01,126.870003,128.279999,126.330002,128.149994,122.960739,13386900
2022-11-02,127.650002,130.360001,126.639999,126.970001,121.828529,16546100
2022-11-03,126.309998,128.179993,125.910004,127.199997,122.049210,12474400
2022-11-04,129.490005,130.830002,128.460007,130.679993,125.388283,14953200
2022-11-07,131.000000,132.289993,130.479996,131.369995,126.050346,12011200
2022-11-08,131.240005,132.059998,130.139999,131.449997,126.127113,9884100
2022-11-09,131.320007,131.429993,129.220001,129.740005,124.486359,9494000
2022-11-10,132.630005,135.250000,132.529999,135.080002,129.610138,16351600
2022-11-11,135.190002,136.169998,133.779999,135.300003,129.821228,10704700
2022-11-14,134.800003,135.729996,133.910004,133.910004,128.487503,11085600
2022-11-15,134.679993,135.710007,131.600006,132.940002,127.556786,14038300
2022-11-16,133.000000,133.559998,132.029999,133.119995,127.729485,7893400
